Lat,Long,Temp_Max,Temp_Min,Year
11.6512,78.1587,33.46,21.57,2003
11.6512,78.1587,32.0,20.67,2004
11.6512,78.1587,32.13,21.37,2005
11.6512,78.1587,32.35,20.85,2006
11.6512,78.1587,32.51,20.98,2007
11.6512,78.1587,31.71,20.58,2008
11.6512,78.1587,33.14,21.17,2009
11.6512,78.1587,32.48,21.56,2010
11.6512,78.1587,32.35,20.65,2011
11.6512,78.1587,33.33,21.17,2012
11.6512,78.1587,33.17,21.43,2013
11.6512,78.1587,33.38,21.41,2014
11.6512,78.1587,32.99,21.29,2015
11.66891,92.73273,28.38,27.05,1997
11.66891,92.73273,28.76,27.48,1998
11.66891,92.73273,28.02,26.95,1999
11.66891,92.73273,28.06,26.93,2000
11.66891,92.73273,28.2,27.07,2001
11.66891,92.73273,28.62,27.41,2002
11.66891,92.73273,28.6,27.39,2003
11.66891,92.73273,28.56,27.36,2004
11.66891,92.73273,28.51,27.39,2005
11.66891,92.73273,28.5,27.34,2006
11.66891,92.73273,28.4,27.17,2007
11.66891,92.73273,28.41,27.3,2008
11.66891,92.73273,28.62,27.45,2009
11.66891,92.73273,28.93,27.74,2010
11.66891,92.73273,28.33,27.33,2011
11.66891,92.73273,28.47,27.37,2012
11.66891,92.73273,28.6,27.49,2013
11.66891,92.73273,28.74,27.52,2014
11.66891,92.73273,28.92,27.67,2015
11.71006,76.11898,28.76,19.49,1997
11.71006,76.11898,28.6,19.7,1998
11.71006,76.11898,28.0,18.82,1999
11.71006,76.11898,28.62,18.91,2000
11.71006,76.11898,28.35,19.27,2001
11.71006,76.11898,29.04,19.33,2002
11.71006,76.11898,29.2,19.57,2003
11.71006,76.11898,28.42,19.14,2004
11.71006,76.11898,28.56,19.6,2005
11.71006,76.11898,28.12,19.07,2006
11.71006,76.11898,28.14,19.03,2007
11.71006,76.11898,27.85,18.73,2008
11.71006,76.11898,28.64,19.33,2009
11.71006,76.11898,28.17,19.73,2010
11.71006,76.11898,27.99,18.84,2011
11.71006,76.11898,28.98,19.23,2012
11.71006,76.11898,28.54,19.39,2013
11.71006,76.11898,28.44,19.48,2014
11.71006,76.11898,29.02,19.48,2015
11.89034,75.3944,28.81,25.36,1997
11.89034,75.3944,28.81,25.5,1998
11.89034,75.3944,28.36,24.9,1999
11.89034,75.3944,28.54,24.86,2000
11.89034,75.3944,28.51,25.09,2001
11.89034,75.3944,28.87,25.27,2002
11.89034,75.3944,29.16,25.62,2003
11.89034,75.3944,28.69,25.15,2004
11.89034,75.3944,28.74,25.42,2005
11.89034,75.3944,28.67,25.13,2006
11.89034,75.3944,28.61,25.15,2007
11.89034,75.3944,28.57,25.03,2008
11.89034,75.3944,28.8,25.41,2009
11.89034,75.3944,28.63,25.58,2010
11.89034,75.3944,28.65,25.1,2011
11.89034,75.3944,28.85,25.27,2012
11.89034,75.3944,28.79,25.43,2013
11.89034,75.3944,28.95,25.61,2014
11.89034,75.3944,29.03,25.69,2015
11.9338,79.8298,31.62,25.21,1997
11.9338,79.8298,31.76,25.53,1998
11.9338,79.8298,31.42,24.75,1999
11.9338,79.8298,31.56,25.05,2000
11.9338,79.8298,31.89,25.26,2001
11.9338,79.8298,32.05,25.33,2002
11.9338,79.8298,32.0,25.39,2003
11.9338,79.8298,31.14,24.78,2004
11.9338,79.8298,31.42,25.36,2005
11.9338,79.8298,31.43,25.05,2006
11.9338,79.8298,31.32,24.98,2007
11.9338,79.8298,31.02,24.89,2008
11.9338,79.8298,31.92,25.36,2009
11.9338,79.8298,31.38,25.29,2010
11.9338,79.8298,31.39,25.05,2011
11.9338,79.8298,31.74,25.17,2012
11.9338,79.8298,31.88,25.25,2013
11.9338,79.8298,31.8,25.27,2014
11.9338,79.8298,31.57,25.3,2015
11.9515,77.10654,30.92,19.97,1997
11.9515,77.10654,30.88,20.2,1998
11.9515,77.10654,30.75,19.32,1999
11.9515,77.10654,30.99,19.56,2000
11.9515,77.10654,30.96,19.86,2001
11.9515,77.10654,31.89,19.94,2002
11.9515,77.10654,31.87,20.23,2003
11.9515,77.10654,30.52,19.48,2004
11.9515,77.10654,30.42,19.99,2005
11.9515,77.10654,30.53,19.5,2006
11.9515,77.10654,30.6,19.57,2007
11.9515,77.10654,30.25,19.19,2008
11.9515,77.10654,31.31,19.82,2009
11.9515,77.10654,30.76,20.24,2010
11.9515,77.10654,30.91,19.36,2011
11.9515,77.10654,32.07,19.98,2012
11.9515,77.10654,31.35,20.07,2013
11.9515,77.10654,31.36,20.06,2014
11.9515,77.10654,31.37,19.92,2015
12.25749,79.06892,33.32,22.73,1997
12.25749,79.06892,33.08,22.96,1998
12.25749,79.06892,32.99,22.03,1999
12.25749,79.06892,33.04,22.44,2000
12.25749,79.06892,33.48,22.68,2001
12.25749,79.06892,33.82,22.74,2002
12.25749,79.06892,33.99,22.98,2003
12.25749,79.06892,32.52,22.08,2004
12.25749,79.06892,32.6,22.75,2005
12.25749,79.06892,32.98,22.4,2006
12.25749,79.06892,32.74,22.38,2007
12.25749,79.06892,32.19,22.2,2008
12.25749,79.06892,33.47,22.67,2009
12.25749,79.06892,32.75,22.83,2010
12.25749,79.06892,32.85,22.31,2011
12.25749,79.06892,33.67,22.61,2012
12.25749,79.06892,33.38,22.65,2013
12.25749,79.06892,33.63,22.72,2014
12.25749,79.06892,33.19,22.67,2015
12.38117,75.66772,29.09,20.63,1997
12.38117,75.66772,28.92,20.83,1998
12.38117,75.66772,28.35,20.04,1999
12.38117,75.66772,28.8,20.03,2000
12.38117,75.66772,28.62,20.38,2001
12.38117,75.66772,29.18,20.48,2002
12.38117,75.66772,29.4,20.76,2003
12.38117,75.66772,28.76,20.31,2004
12.38117,75.66772,28.9,20.74,2005
12.38117,75.66772,28.63,20.28,2006
12.38117,75.66772,28.49,20.23,2007
12.38117,75.66772,28.33,19.97,2008
12.38117,75.66772,28.87,20.59,2009
12.38117,75.66772,28.39,20.94,2010
12.38117,75.66772,28.36,20.01,2011
12.38117,75.66772,29.09,20.35,2012
12.38117,75.66772,28.73,20.52,2013
12.38117,75.66772,28.76,20.67,2014
12.38117,75.66772,28.94,20.67,2015
12.52997,75.02326,29.56,22.72,1997
12.52997,75.02326,29.39,22.9,1998
12.52997,75.02326,28.84,22.16,1999
12.52997,75.02326,29.16,22.06,2000
12.52997,75.02326,29.02,22.36,2001
12.52997,75.02326,29.49,22.51,2002
12.52997,75.02326,29.77,22.81,2003
12.52997,75.02326,29.3,22.37,2004
12.52997,75.02326,29.34,22.72,2005
12.52997,75.02326,29.2,22.38,2006
12.52997,75.02326,29.0,22.34,2007
12.52997,75.02326,28.97,22.16,2008
12.52997,75.02326,29.32,22.74,2009
12.52997,75.02326,28.92,23.0,2010
12.52997,75.02326,28.93,22.11,2011
12.52997,75.02326,29.45,22.45,2012
12.52997,75.02326,29.19,22.58,2013
12.52997,75.02326,29.38,22.79,2014
12.52997,75.02326,29.34,22.79,2015
12.53404,78.21802,30.83,19.52,1997
12.53404,78.21802,30.56,19.7,1998
12.53404,78.21802,30.62,18.85,1999
12.53404,78.21802,30.66,19.15,2000
12.53404,78.21802,30.81,19.38,2001
12.53404,78.21802,31.73,19.45,2002
12.53404,78.21802,31.88,19.82,2003
12.53404,78.21802,30.2,19.08,2004
12.53404,78.21802,30.12,19.52,2005
12.53404,78.21802,30.75,19.18,2006
12.53404,78.21802,30.37,19.19,2007
12.53404,78.21802,29.87,19.01,2008
12.53404,78.21802,31.04,19.41,2009
12.53404,78.21802,30.6,19.93,2010
12.53404,78.21802,31.06,19.04,2011
12.53404,78.21802,32.05,19.55,2012
12.53404,78.21802,30.98,19.54,2013
